Bloco,Tratamento,DAS,Inoculacao,Rn,Gn,Bn,MPRI,H,S,V,ICVE,Clof A,Clof B,Clorof Total,NDVI
C,0,42,com,0.296997608,0.429538534,0.273463859,0.182428538,110.9528887,0.363354304,0.291927451,0.731311019,28.34666667,7.06,35.96,0.48874
C,0,42,com,0.305172086,0.438770912,0.256057002,0.179582072,103.8714794,0.416422111,0.201742378,0.704342278,31.21666667,,45.26,0.46928
D,0,42,sem,0.322546354,0.407135066,0.27031858,0.115925538,97.0958416,0.336046922,0.166060231,0.705385625,35.63333333,6.6,42.23333333,0.38846
D,0,42,sem,0.313490431,0.41213024,0.274379329,0.135938533,102.9644239,0.334241214,0.306544933,0.691762528,37.8,8.366666667,46.16666667,0.48707
D,0,42,sem,0.291591374,0.391709143,0.316699483,0.146520844,135.0471446,0.255592115,0.401756061,0.864479189,37.7,7.666666667,45.36666667,0.61506
D,0,42,sem,0.310417385,0.379278448,0.310304167,0.099842655,119.9015133,0.181856578,0.460246069,0.785418636,37.9,7.166666667,45.06666667,0.65136
D,0,42,sem,0.289851949,0.38535355,0.324794501,0.141440793,141.953068,0.247828523,0.435425146,0.894210266,37.76666667,7.166666667,44.93333333,0.64964
D,0,42,com,0.317697818,0.40920704,0.273095142,0.125888858,100.3385261,0.332623549,0.274949851,0.688245122,33.01333333,9.946666667,43.45666667,0.57709
D,0,42,com,0.314889961,0.414759181,0.270350858,0.136872935,101.4945139,0.348173904,0.255459986,0.695980448,29.69333333,8.59,38.91,0.47796
D,0,42,com,0.326897886,0.414400691,0.258701423,0.118039892,93.71992901,0.375721545,0.226986914,0.653096786,32.34,8.336666667,41.04333333,0.45107
D,0,42,com,0.327824603,0.413575055,0.258600342,0.115660226,93.19913941,0.374719683,0.261636559,0.638987583,28.66,7.753333333,37.03,0.43573
D,0,42,com,0.328636667,0.41352076,0.257842573,0.114374781,92.71521659,0.376470064,0.269354319,0.633143076,30.09333333,8.96,39.69,0.40328
A,0,53,sem,0.28800106,0.409738994,0.302259946,0.174474624,127.0276627,0.297110929,0.460216026,0.786600252,38.06666667,6.533333333,44.6,0.71327
A,0,53,sem,0.238589046,0.410579962,0.350830992,0.264940121,159.1562354,0.418897491,0.390441479,0.947754985,36.2,5.533333333,41.73333333,0.82975
A,0,53,sem,0.286512954,0.401584151,0.311902896,0.167231044,133.2387302,0.286543173,0.476694349,0.819135994,35.5,5.466666667,40.96666667,0.79667
A,0,53,sem,0.302917166,0.390820896,0.306261938,0.126710261,122.2830241,0.224920754,0.504055907,0.769691247,32.83333333,5.3,38.13333333,0.85281
A,0,53,sem,0.303293834,0.389696488,0.307009678,0.124680897,122.5803682,0.221717817,0.444202254,0.792362022,38.26666667,6.7,44.96666667,0.84801
